
C:\Users\Thomas\Documents\Dev\LOLPython>c:\Python27\python.exe LOL_json_read1.py 5 CSV 4 * 
LOLPyth  version  1.70 - 16Jun2016
--- mode 5 - collection info for all champions
Name           ,Title                     ,Type(s)              ,Att,Def,Mag,Diff,range,name,desc,range,name,desc,range,name,desc,range,name,desc,
Quinn          ,Demacia's Wings          , Marksman Fighter   ,9,4,2,5,1025,"Blinding Assault","Quinn calls Valor to mark an enemy and hinder its vision before damaging all enemies in the immediate area.",2100,"Heightened Senses","Passively grants Quinn Attack Speed and Movement Speed after she attacks a <span class="colorFFF673">Vulnerable</span> target. Activate to have Valor reveal a large area nearby.",675,"Vault","Quinn dashes to an enemy, dealing physical damage and slowing the target's Movement Speed. Upon reaching the target, she leaps off the target, briefly interrupting it, and lands near her maximum Attack Range away from the target.",700,"Behind Enemy Lines","Quinn and Valor team up to fly around at great speed.",
Diana          ,Scorn of the Moon        , Fighter Mage       ,7,6,8,4,900,"Crescent Strike","Diana swings her blade to unleash a bolt of lunar energy that deals damage in an arc before exploding. Afflicts enemies struck with the Moonlight debuff, revealing them if they are not stealthed. ",800,"Pale Cascade","Diana creates three orbiting spheres that detonate on contact with enemies to deal damage in an area. She also gains a temporary shield that absorbs damage. If her third sphere detonates, the shield gains additional strength.",450,"Moonfall","Diana draws in and slows all nearby enemies.",825,"Lunar Rush","Diana dashes to an enemy and deals magic damage. Lunar Rush has no cooldown when used to teleport to a target afflicted with Moonlight.",
Syndra         ,the Dark Sovereign       , Mage Support       ,2,3,9,8,800,"Dark Sphere","Syndra conjures a Dark Sphere dealing magic damage. The sphere remains and can be manipulated by her other powers.",925,"Force of Will","Syndra picks up and throws a Dark Sphere or enemy minion dealing magic damage and slowing the Movement Speed of enemies. ",650,"Scatter the Weak","Syndra knocks enemies and Dark Spheres back dealing magic damage. Enemies hit by Dark Spheres become stunned.",675,"Unleashed Power","Syndra bombards an enemy Champion with all of her Dark Spheres.",
Jax            ,Grandmaster at Arms      , Fighter Assassin   ,7,5,7,5,700,"Leap Strike","Jax leaps toward a unit. If they are an enemy, he strikes them with his weapon.",300,"Empower","Jax charges his weapon with energy, causing his next attack to deal additional damage.",300,"Counter Strike","Jax's combat prowess allows him to dodge all incoming attacks for a short duration and then quickly counterattack, stunning all surrounding enemies.",100,"Grandmaster's Might","Every third consecutive attack deals additional Magic Damage. Additionally, Jax can activate this ability to strengthen his resolve, increasing his Armor and Magic Resist for a short duration.",
Morgana        ,Fallen Angel             , Mage Support       ,1,6,8,1,1175,"Dark Binding","Morgana releases a sphere of dark magic. Upon contact with an enemy unit, the sphere will deal magic damage and force the unit to the ground for a period of time.",900,"Tormented Soil","Infects an area with desecrated soil, causing enemy units who stand on the location to take continual damage.",750,"Black Shield","Places a protective barrier around an allied champion, absorbing magical damage and disables until penetrated or the shield dissipates.",625,"Soul Shackles","Latches chains of energy onto nearby enemy champions, dealing initial damage to them and slowing their Movement Speed, and then echoing the pain a few seconds later and stunning them if they remain close to Morgana.",
Zilean         ,the Chronokeeper         , Support Mage       ,2,5,8,6,900,"Time Bomb","Tosses a bomb to target area that sticks to units that come near it (prioritizes Champions). It detonates after 3 seconds, dealing area of effect damage. If a Time Bomb is detonated early by another Time Bomb, it also stuns enemies.",600,"Rewind","Zilean can prepare himself for future confrontations, reducing the cooldowns of his other basic abilities. ",700,"Time Warp","Zilean bends time around any unit, decreasing an enemy's Movement Speed or increasing an ally's Movement Speed for a short time.",900,"Chronoshift","Zilean places a protective time rune on an allied champion, teleporting the champion back in time if they take lethal damage.",
Singed         ,the Mad Chemist          , Tank Fighter       ,4,8,7,5,20,"Poison Trail","Leaves a trail of poison behind Singed, dealing damage to enemies caught in the path.",1000,"Mega Adhesive","Throws a vial of mega adhesive on the ground, slowing enemies who walk on it.",125,"Fling","Damages target enemy unit and flings them into the air behind Singed. If the target Singed flings lands in his Mega Adhesive, they are also rooted.",20,"Insanity Potion","Singed drinks a potent brew of chemicals, granting him increased combat stats.",
Nunu           ,the Yeti Rider           , Support Fighter    ,4,6,7,4,125,"Consume","Nunu commands the yeti to take a bite out of a target minion or monster, dealing heavy damage to it and healing himself.",700,"Blood Boil","Nunu invigorates himself and an allied unit by heating their blood, increasing their Movement and Attack Speeds.",550,"Ice Blast","Nunu launches a ball of ice at an enemy unit, dealing damage and temporarily slowing their Movement and Attack Speeds.",650,"Absolute Zero","Nunu begins to sap the area of heat, slowing all nearby enemies. When Absolute Zero ends, he deals massive damage to all enemies caught in the area.",
Miss Fortune   ,the Bounty Hunter        , Marksman           ,8,2,5,1,650,"Double Up","Miss Fortune fires a bullet at an enemy, damaging them and a target behind them. Both strikes can also apply Love Tap.",600,"Strut","Miss Fortune passively gains Movement Speed when not attacked. This ability can be activated to grant bonus Attack Speed for a short duration. While it's on cooldown, Love Taps reduce the remaining cooldown of Strut.",1000,"Make It Rain","Miss Fortune reveals an area with a flurry of bullets, dealing waves of damage to opponents and slowing them.",400,"Bullet Time","Miss Fortune channels a flurry of bullets into a cone in front of her, dealing large amounts of damage to enemies. Bullet Time can critically strike.",
Ashe           ,the Frost Archer         , Marksman Support   ,7,3,2,4,400,"Ranger's Focus","Ashe builds up Focus by attacking. At maximum Focus, Ashe can cast Ranger's Focus to consume all stacks of Focus, temporarily increasing her Attack Speed and transforming her basic attack into a powerful flurry attack for the duration.",1200,"Volley","Ashe fires 9 arrows in a cone for increased damage. Also applies Frost Shot.",25000,"Hawkshot","Ashe sends her Hawk Spirit on a scouting mission anywhere on the map.",20000,"Enchanted Crystal Arrow","Ashe fires a missile of ice in a straight line. If the arrow collides with an enemy Champion, it deals damage and stuns the Champion, stunning for longer the farther arrow has traveled. In addition, surrounding enemy units take damage and are slowed.",
Tryndamere     ,the Barbarian King       , Fighter Assassin   ,10,5,2,5,400,"Bloodlust","Tryndamere thrives on the thrills of combat, increasing his Attack Damage as he is more and more wounded. He can cast Bloodlust to consume his Fury and heal himself.",850,"Mocking Shout","Tryndamere lets out an insulting cry, decreasing surrounding champions' Attack Damage. Enemies with their backs turned to Tryndamere also have their Movement Speed reduced.",650,"Spinning Slash","Tryndamere slices toward a target unit, dealing damage to enemies in his path.",400,"Undying Rage","Tryndamere's lust for battle becomes so strong that he is unable to die, no matter how wounded he becomes.",
Evelynn        ,the Widowmaker           , Assassin Mage      ,4,2,7,10,500,"Hate Spike","Evelynn fires a line of spikes through an enemy, dealing damage to all enemies in its path.",10000,"Dark Frenzy","Evelynn passively increases her Movement Speed when hitting enemy champions with her spells. Upon activation, Evelynn breaks free from slows affecting her and gains a massive Movement Speed boost for a short duration.",225,"Ravage","Evelynn slashes her target twice, dealing damage with each hit. She then gains increased Attack Speed for a short duration.",650,"Agony's Embrace","Evelynn summons spikes from the ground to deal damage and slow enemies in the area. She then gains a shield based on how many enemy champions were hit.",
